feature,importance
brand_perfume_count,0.11020329986855947
perfume_age,0.06764522855584892
perfume_name_len,0.044420770622935715
brand_len,0.04403561275131805
note_count_total,0.03235044839165349
base_note_count,0.024332044477364572
middle_note_count,0.020851570755023436
top_note_count,0.020290004476315498
country_France,0.018030815063857657
note__musk,0.009440963846601773
accord__vanilla,0.009391092567787565
accord__citrus,0.008524092992625942
accord__woody,0.008499620183849083
note__sandalwood,0.008401776806038595
gender_unisex,0.008337910685124274
note__amber,0.008171709073095475
note__bergamot,0.008003674863109276
country_Italy,0.007906244191899474
note__jasmine,0.007775526879796531
note__patchouli,0.007643154461500204
accord__powdery,0.00739689395381509
note__rose,0.007396516507132978
accord__floral,0.00728427717456567
accord__sweet,0.007195357595135012
note__cedar,0.007127845905124781
accord__fruity,0.0071214476024721645
accord__aromatic,0.007027386802422055
country_Russia,0.006936975193966678
note__vanilla,0.00680325461268996
country_USA,0.006793638358762294
accord__white floral,0.006788620705947331
gender_women,0.006721179187717098
accord__warm spicy,0.006602160700100633
country_Brazil,0.006405571454181475
accord__amber,0.006109495736654656
accord__musky,0.00609979923542045
accord__fresh spicy,0.006097701882606243
note__mandarin orange,0.005966103192091113
gender_men,0.005531232839313699
note__vetiver,0.00549818981060638
note__tonka bean,0.005228609743213206
accord__rose,0.005208866679656089
note__lemon,0.005051843657865376
accord__green,0.005039419265837687
accord__fresh,0.0050002976657678895
note__orange blossom,0.004916245906419742
note__pink pepper,0.004500879476679956
note__lily-of-the-valley,0.004472032943055999
note__grapefruit,0.00437548634176953
note__lavender,0.004113327838620427
note__violet,0.004056456959635597
note__iris,0.003986698779643888
note__leather,0.00396474336808316
note__benzoin,0.003929223726555813
note__freesia,0.0038146594861144106
note__ylang-ylang,0.003788963178919093
note__cardamom,0.0037833605634442972
note__geranium,0.0037144449002219893
country_UK,0.0036552977590833167
note__peach,0.0036404823617463746
country_UAE,0.0034421886491496564
note__orange,0.003439004359188436
note__white musk,0.003433269611037911
note__oakmoss,0.003389915941118085
note__incense,0.0033746007432631574
note__ginger,0.0032695275835711206
note__neroli,0.003246242903729856
note__peony,0.0032386034177845956
note__black currant,0.003233200499234346
note__pear,0.003160879907797627
note__cinnamon,0.003122583623954243
country_Spain,0.0030488302544233806
country_other,0.002907505707367806
note__magnolia,0.002907069636753606
note__nutmeg,0.002881776765131704
note__labdanum,0.002867216770950322
note__tuberose,0.0028495889211443987
note__raspberry,0.002748416438207288
note__woody notes,0.002748164888071904
accord__patchouli,0.002659271290357832
note__agarwood (oud),0.002643426433488864
accord__earthy,0.0026346343216360813
note__saffron,0.002578978490281392
note__ambergris,0.0024686336374920505
accord__leather,0.002450632303207412
note__virginia cedar,0.002422183129009615
note__black pepper,0.002395506892084094
note__heliotrope,0.0023762441201642284
note__woodsy notes,0.00229079179031904
accord__aquatic,0.0022886608178624857
note__mint,0.0022825929363499537
note__carnation,0.002280108535355476
country_Oman,0.0022170939754665147
accord__iris,0.0022170035236025692
note__violet leaf,0.002214973852668096
note__pepper,0.0022040572055268973
note__apple,0.0021956746264597195
note__plum,0.00218872189960691
accord__soft spicy,0.0021816799737446485
note__gardenia,0.002168268258511997
note__coriander,0.002159818778796906
note__jasmine sambac,0.002157535855670774
note__citruses,0.002143152836228525
note__moss,0.002079864044113711
accord__lavender,0.002033355769342774
note__pineapple,0.0020314612763431108
note__lime,0.0020193457468566617
note__green notes,0.001993668640172112
accord__oud,0.0019662648169187997
note__guaiac wood,0.0019643359027973085
accord__tropical,0.0019577019031280156
note__orchid,0.001915995519714961
note__tangerine,0.0018748744251449274
accord__yellow floral,0.0018741114711141877
note__cashmeran,0.0018670852895932063
note__vanille,0.0018558210106079198
note__orris root,0.001844575493902992
note__sage,0.0018017302770453262
note__olibanum,0.0017903930279852926
note__cashmere wood,0.0017887121529140703
country_Germany,0.0017847711514093882
note__caramel,0.0017705581148403596
note__osmanthus,0.0017541240315567612
note__honey,0.0016591761728917175
accord__balsamic,0.0016421209289949976
note__rosemary,0.0016396556916685135
note__floral notes,0.0016276006240092144
note__bulgarian rose,0.0015914553758495317
note__clary sage,0.0015859331107586758
note__ambroxan,0.001576927748940531
country_Netherlands,0.0015664062883387283
note__aldehydes,0.001564606811170924
country_Sweden,0.0015572686101259759
note__lily,0.0015489334426015962
note__tobacco,0.0015336570695361818
accord__violet,0.0015156834386383263
accord__animalic,0.0015050536512934488
note__cassis,0.001480224148876591
note__cypress,0.0014750360058680542
accord__ozonic,0.0014557296296307783
note__amalfi lemon,0.0014423614879665607
note__petitgrain,0.0014338974555172996
note__galbanum,0.0014335716566272177
note__basil,0.0014243796529911897
note__coconut,0.0014188636564336195
note__bitter orange,0.0014184329605706758
note__tea,0.001411221821322723
note__praline,0.0013978426416792204
note__ambrette (musk mallow),0.001395893625209692
note__amberwood,0.0013929643657056056
note__cloves,0.0013792762797953414
note__almond,0.0013638215429844312
note__litchi,0.001314188372995768
note__lotus,0.0013063847759274853
note__cyclamen,0.0012945197808492304
note__sea notes,0.0012820443812258271
country_Latvia,0.001234444509462599
note__mimosa,0.001229220828379664
note__narcissus,0.001212686581674536
note__suede,0.0012120973461488397
note__frangipani,0.0011718459748046408
note__damask rose,0.001151319104082229
note__orris,0.0011376562991327352
note__apricot,0.00113607130674914
note__artemisia,0.0011310256796352384
note__spices,0.0011290364812920034
note__turkish rose,0.001128952930975763
note__calabrian bergamot,0.0011071795723471586
note__juniper,0.0011024164170132602
note__madagascar vanilla,0.0010979450855405886
note__myrrh,0.0010759655416787384
country_Poland,0.0010479769034849556
note__passionfruit,0.0010167869865620354
note__african orange flower,0.0010122941295813766
note__red berries,0.0010045403264095083
note__rum,0.0009927499068038738
note__honeysuckle,0.0009920374979363858
note__red apple,0.0009766770911476665
note__bourbon vanilla,0.0009705772198043163
note__coffee,0.0009631220896384085
note__hyacinth,0.0009481134946639499
note__melon,0.0009206595681791091
note__fruity notes,0.0009184506560570582
note__juniper berries,0.0009090268416597546
note__opoponax,0.0008674071657730217
note__water notes,0.0008555474033906147
note__water lily,0.0008499626480708109
note__hiacynth,0.0008469706270753169
note__white flowers,0.0008403439693492441
note__oak moss,0.0008333220326724376
note__haitian vetiver,0.0007922793395256806
note__caraway,0.000792181679966454
note__green apple,0.0007897470861123581
note__styrax,0.0007882887350870957
note__yuzu,0.0007877166907263861
note__fig,0.0007704882031971068
note__spicy notes,0.0007691655507627431
country_Canada,0.0007685467444531318
note__thyme,0.000758468858554831
note__elemi,0.0007540147357635008
note__cacao,0.000736647258477093
note__blackberry,0.0007331093230129553
note__cypriol oil or nagarmotha,0.000732272876161414
country_Argentina,0.0007182504235286434
country_Japan,0.0007143608919950714
country_Turkey,0.0007141446637494254
country_Greece,0.0007116638269474206
note__tiare flower,0.0007097056659665059
country_Switzerland,0.0007061198316645044
note__green mandarin,0.000704135763798864
note__lilac,0.0007027368333237621
note__clove,0.0007019417911385422
note__sandalowood,0.0006974336849344866
note__green tea,0.0006915863364960241
note__pink grapefruit,0.000687256770953613
note__brazilian rosewood,0.0006871067946834722
note__anise,0.0006839303595355946
note__blood orange,0.0006657706399109639
note__strawberry,0.000662731880703269
note__cherry,0.0006587714267095233
note__rhubarb,0.0006535212575762577
note__star anise,0.0006459074408735126
note__salt,0.0006287097101847455
note__clementine,0.0006070430673780987
note__angelica,0.0005974275029758058
note__palisander rosewood,0.0005951406697599066
note__coumarin,0.0005859896212027251
note__birch,0.0005811347095577918
note__sea water,0.0005804327520556198
note__pomegranate,0.0005787222151868566
note__sichuan pepper,0.0005680572588672363
note__citron,0.0005669146114309218
note__balsam fir,0.0005607618436719599
note__mango,0.0005568764372413826
note__immortelle,0.0005463054259835962
note__white woods,0.0005426623125347065
note__green leaves,0.0005397812553817351
note__cassia,0.0005284945343166585
note__myrhh,0.0005277025824476471
note__civet,0.0005259257959032587
note__sugar,0.0005256863212204573
note__red currant,0.0005024836110032819
note__licorice,0.0005020092500945208
note__sicilian lemon,0.0004946131539554292
note__milk,0.0004924361982886316
note__watery notes,0.0004886141206135767
note__cumin,0.0004877649714355245
note__oak,0.00046686305195833534
note__red fruits,0.0004653446175292468
note__davana,0.00045921740811262935
note__hedione,0.0004582552150503874
note__french labdanum,0.00045235007452437627
note__watermelon,0.00045233521396762324
note__white pepper,0.0004484532507021282
note__violet leaves,0.0004479648872341497
note__mate,0.00044757514305654336
note__egyptian jasmine,0.0004447543092596731
note__castoreum,0.0004416159843491507
note__whipped cream,0.0004391989924909436
note__may rose,0.00043834015699926933
note__papyrus,0.00042623947180480646
note__nectarine,0.00042235858900307945
note__white amber,0.00041990379047505104
note__tolu balsam,0.0004180901077873414
note__tarragon,0.0004169020172782558
note__hazelnut,0.00041299232361788167
note__lemon verbena,0.00041279708353146924
note__peru balsam,0.00040912910225549573
note__cherry blossom,0.0004045049772956999
note__italian lemon,0.00040445386697720036
note__powdery notes,0.0003988549092172996
note__bitter almond,0.0003968782287900769
note__dark chocolate,0.00039605727634597524
note__vetyver,0.000394465685820212
country_India,0.000387775985506534
note__wormwood,0.00038272835235099754
note__atlas cedar,0.00037821379269897045
note__vanilla orchid,0.0003767316777147799
note__carrot seeds,0.0003765992429543463
note__indonesian patchouli leaf,0.00036131631892928856
note__teak wood,0.000342850313454295
note__white cedar extract,0.0003413196053244106
note__chamomile,0.0003388333990654648
note__australian sandalwood,0.0003370447087843376
note__bay leaf,0.0003344733794487948
note__bamboo,0.0003274937730027137
note__resins,0.00031967740787106503
note__marshmallow,0.000317359867231321
note__black tea,0.0003128930761633556
note__fig leaf,0.00031131983806858757
note__hawthorn,0.00029374687824634783
note__pomelo,0.00029330234309404233
note__sweet pea,0.0002925656190577568
note__granny smith apple,0.000292327972454911
note__grass,0.0002903661985500347
note__driftwood,0.0002829664554253626
note__guava,0.00027535337094778143
note__coconut milk,0.0002741008432893708
note__hibiscus,0.0002708108146214723
note__pimento,0.00026791572131085927
note__chocolate,0.00026537111381134943
note__italian mandarin,0.0002626495552399483
note__sweet notes,0.00026109271438596405
note__cacao pod,0.0002600340830417359
note__vanila,0.00025984467956395504
note__tagetes,0.0002574157407382449
note__vanilla absolute,0.00025494702110693
note__peach blossom,0.0002538467484312043
note__fir,0.0002450523197598953
note__white honey,0.0002444288371743751
note__ivy,0.0002421981385465046
note__pine,0.00024104842802816565
note__cotton candy,0.0002398349114655167
note__dried fruits,0.0002358655997540775
note__big strawberry,0.00023491067393274182
note__blueberry,0.00023330003995386303
note__elemi resin,0.00023102441442377118
note__quince,0.00022996307256129545
note__kumquat,0.00022641625621617621
note__kiwi,0.00022354150607493457
note__myrtle,0.0002212254283221427
note__herbal notes,0.00022020601128608302
note__pine tree,0.0002201469795100909
note__hay,0.00021940839024135118
note__sweet orange,0.00021894225312148524
note__siam benzoin,0.00021739399039562892
note__ozonic notes,0.0002165109518015782
note__passion flower,0.00021637569027912673
note__sicilian bergamot,0.00021565474562213957
note__solar notes,0.00021414533643501491
note__beeswax,0.0002099347692383094
note__apple blossom,0.00020727234924066654
note__mahogany,0.00020669332794089396
note__cedarwood,0.0002065991598089923
note__eucalyptus,0.00020658157802227596
note__sour cherry,0.00020573256354363285
note__marigold,0.00020501955490621272
note__smoke,0.0002018578163377591
note__lily of the valley,0.00019894073141206247
note__white peach,0.00019863961083920923
note__fruits,0.00019493720494102716
note__rose petals,0.00019263326795782422
note__indian jasmine,0.00019039849907736178
note__amyris,0.00019030087219635173
note__whiskey,0.00018968424557026567
note__white wood,0.00018460834680414265
note__precious woods,0.00017962578188215577
note__white rose,0.0001739662607469587
note__tobacco leaf,0.0001720268927625685
note__seaweed,0.00017039545481835734
note__sea salt,0.00016817728140176602
note__champaca,0.00016663409922133964
note__cranberry,0.00015633786349411946
note__flowers,0.00015625715977402924
note__gurjan balsam,0.000150008471897291
note__almond blossom,0.00014911834167918818
note__cognac,0.00013822188015993433
note__champagne,0.0001378262358598031
note__pink peony,0.00013528386714700607
note__virginian cedar,0.000134836323448969
note__rose de mai,0.0001316111915845547
note__wild berries,0.00012356699766353656
note__white tea,0.00011966899196887856
country_Denmark,0.00010329665329481245
country_Thailand,0.0001031533773455729
country_Czech Republic,2.2585191992349195e-05
gender_nan,0.0
